epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1066,1.71759,3.18913,1.4102,0.81609,0.12108,0.21736,0.10499,1.75631,3.07237,1.40818,0.000299557,0.000299557,0.000299557
2,37.1866,1.70188,1.84852,1.35266,0.54034,0.33962,0.31971,0.15115,1.79068,1.91212,1.5155,0.000590626,0.000590626,0.000590626
3,54.6914,1.70076,1.72064,1.39017,0.44837,0.37663,0.31689,0.15247,1.75929,1.89509,1.5119,0.000869697,0.000869697,0.000869697
4,72.2152,1.67093,1.63056,1.37069,0.47909,0.33399,0.31107,0.14648,1.79629,1.83258,1.54711,0.000855005,0.000855005,0.000855005
5,89.3074,1.64562,1.56385,1.36387,0.51372,0.39621,0.34643,0.16455,1.78353,1.72827,1.51828,0.000837007,0.000837007,0.000837007
6,106.707,1.61314,1.49989,1.34957,0.52066,0.41279,0.36079,0.16783,1.79386,1.70612,1.51349,0.000819009,0.000819009,0.000819009
7,124.361,1.60802,1.48713,1.34945,0.57034,0.41461,0.41237,0.20018,1.73445,1.62867,1.45307,0.000801011,0.000801011,0.000801011
8,141.229,1.61338,1.40441,1.33762,0.47065,0.42923,0.4038,0.19677,1.73147,1.58242,1.4755,0.000783013,0.000783013,0.000783013
9,157.967,1.57443,1.38281,1.3236,0.47262,0.44629,0.43142,0.21062,1.74431,1.52215,1.46095,0.000765014,0.000765014,0.000765014
10,174.843,1.57675,1.32828,1.30584,0.49768,0.44794,0.42904,0.21318,1.70949,1.487,1.4488,0.000747016,0.000747016,0.000747016
11,191.66,1.54178,1.30779,1.30169,0.46025,0.4634,0.44686,0.22415,1.707,1.4925,1.44578,0.000729018,0.000729018,0.000729018
12,208.35,1.54118,1.26289,1.29749,0.53343,0.46767,0.45446,0.22342,1.71784,1.46769,1.45167,0.00071102,0.00071102,0.00071102
13,225.545,1.52219,1.26683,1.2978,0.55603,0.47667,0.48042,0.23461,1.70102,1.42205,1.44022,0.000693022,0.000693022,0.000693022
14,242.686,1.52175,1.23534,1.29214,0.49662,0.45898,0.44688,0.22202,1.72268,1.46412,1.44945,0.000675023,0.000675023,0.000675023
15,259.841,1.5351,1.22994,1.29318,0.4845,0.48136,0.48017,0.24218,1.66432,1.42665,1.43544,0.000657025,0.000657025,0.000657025
16,277.515,1.53051,1.21302,1.29215,0.49444,0.50026,0.47994,0.23376,1.71394,1.4127,1.44558,0.000639027,0.000639027,0.000639027
17,294.417,1.50969,1.19523,1.28503,0.49162,0.49333,0.46482,0.2359,1.69371,1.40085,1.42699,0.000621029,0.000621029,0.000621029
18,311.503,1.49204,1.16427,1.26702,0.55299,0.49587,0.49744,0.25479,1.68265,1.36246,1.42394,0.000603031,0.000603031,0.000603031
19,328.689,1.49426,1.15443,1.26622,0.53552,0.49332,0.4916,0.25483,1.66426,1.37657,1.40782,0.000585032,0.000585032,0.000585032
20,345.444,1.47998,1.14296,1.25904,0.49905,0.53501,0.48985,0.24981,1.71078,1.33028,1.43631,0.000567034,0.000567034,0.000567034
21,361.901,1.47415,1.11236,1.25816,0.55233,0.50343,0.50446,0.25645,1.71696,1.3408,1.43684,0.000549036,0.000549036,0.000549036
22,378.48,1.47311,1.10937,1.25352,0.53952,0.52737,0.51433,0.25753,1.69924,1.3489,1.42529,0.000531038,0.000531038,0.000531038
23,394.933,1.4492,1.09571,1.25169,0.53428,0.54274,0.52409,0.27001,1.66634,1.29698,1.40173,0.00051304,0.00051304,0.00051304
24,412.541,1.45601,1.08703,1.25246,0.55365,0.54894,0.52906,0.27427,1.65368,1.27978,1.39361,0.000495041,0.000495041,0.000495041
25,429.384,1.4509,1.05916,1.24225,0.54697,0.54631,0.53149,0.26687,1.70462,1.2995,1.43845,0.000477043,0.000477043,0.000477043
26,446.749,1.46715,1.04382,1.23991,0.56954,0.53096,0.5384,0.28164,1.66338,1.26653,1.3912,0.000459045,0.000459045,0.000459045
27,465.991,1.44566,1.04583,1.23818,0.56043,0.54132,0.53428,0.27833,1.64865,1.27917,1.40231,0.000441047,0.000441047,0.000441047
28,483.294,1.43615,1.02225,1.23531,0.52999,0.54815,0.52394,0.26684,1.68493,1.27259,1.4178,0.000423049,0.000423049,0.000423049
29,500.457,1.44476,1.0162,1.22802,0.55324,0.55009,0.53402,0.27863,1.66541,1.25681,1.40564,0.00040505,0.00040505,0.00040505
30,517.379,1.40121,0.99506,1.2237,0.55743,0.55835,0.53688,0.27607,1.65013,1.2412,1.39359,0.000387052,0.000387052,0.000387052
31,534.312,1.41541,0.9966,1.21816,0.56517,0.56083,0.54769,0.27828,1.67739,1.25616,1.40823,0.000369054,0.000369054,0.000369054
32,551.393,1.40633,0.98102,1.22252,0.57532,0.566,0.55352,0.28824,1.64989,1.22182,1.4012,0.000351056,0.000351056,0.000351056
